72251 CRP Corpus Christi Intl Observations at 12Z 02 Jan 2016

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1028.0     13    5.6    5.3     98   5.46     10     12  276.6  291.5  277.5
 1026.0     29    5.8    4.8     93   5.28     10     13  276.9  291.4  277.8
 1000.0    241    4.0    3.1     94   4.80     15     22  277.1  290.4  278.0
  992.1    305    3.5    2.9     96   4.77     20     22  277.3  290.4  278.1
  975.0    447    2.4    2.4    100   4.69     25     23  277.6  290.5  278.3
  955.5    610    2.1    1.8     97   4.57     30     24  278.9  291.6  279.7
  932.0    811    1.8    1.0     94   4.43     15     16  280.5  293.0  281.3
  925.0    872    2.0    1.4     96   4.60     10     14  281.4  294.3  282.1
  920.2    914    2.3    1.8     96   4.76     10     14  282.1  295.5  282.9
  908.0   1022    3.2    2.8     97   5.18     51     10  284.1  298.8  285.0
  887.0   1213    6.4    6.2     99   6.74    123      3  289.3  308.6  290.5
  886.4   1219    6.4    6.2     99   6.75    125      3  289.4  308.7  290.5
  873.0   1344    6.4    6.4    100   6.95    123      6  290.6  310.6  291.8
  854.1   1524    8.4    8.4    100   8.14    120     11  294.5  318.2  295.9
  850.0   1564    8.8    8.8    100   8.43    120     15  295.4  319.9  296.9
  848.0   1584    8.8    8.8    100   8.45    120     15  295.6  320.2  297.1
  823.1   1829    7.5    7.3     99   7.86    115     18  296.7  319.8  298.1
  793.3   2134    5.9    5.5     97   7.18    120     15  298.1  319.4  299.4
  792.0   2147    5.8    5.4     97   7.15    124     15  298.2  319.4  299.5
  771.0   2368    6.0    5.7     98   7.50    181      7  300.7  323.1  302.0
  764.4   2438    5.5    5.2     98   7.33    200      5  300.9  322.9  302.3
  736.3   2743    3.6    3.3     98   6.62    290      7  302.1  322.1  303.3
  700.0   3154    1.0    0.6     97   5.74    275     17  303.6  321.2  304.6
  693.0   3235    0.6    0.5     99   5.76    271     18  304.0  321.7  305.1
  682.9   3353    0.1    0.1    100   5.67    265     20  304.8  322.2  305.8
  669.0   3518   -0.5   -0.5    100   5.55    262     20  305.8  323.0  306.9
  657.4   3658   -0.1   -0.1    100   5.81    260     20  307.8  325.9  308.9
  657.0   3663   -0.1   -0.1    100   5.82    260     20  307.9  326.0  308.9
  632.9   3962   -1.5   -1.5    100   5.44    255     15  309.6  326.7  310.6
  610.0   4256   -2.9   -2.9    100   5.09    197     25  311.2  327.4  312.2
  609.1   4267   -2.9   -2.9    100   5.09    195     25  311.3  327.5  312.3
  563.9   4877   -4.4   -4.4    100   4.93    205     41  316.6  332.6  317.5
  554.0   5018   -4.7   -4.7    100   4.90    207     44  317.8  333.8  318.7
  542.5   5182   -5.6   -5.6    100   4.66    210     48  318.7  334.0  319.6
  500.0   5820   -8.9   -9.2     98   3.83    220     55  322.1  335.0  322.9
  482.4   6096  -10.5  -11.0     96   3.44    230     60  323.5  335.2  324.2
  461.0   6444  -12.5  -13.3     94   2.99    236     65  325.2  335.5  325.8
  445.2   6706  -14.4  -15.4     91   2.60    240     68  326.1  335.1  326.6
  403.0   7455  -19.7  -21.6     85   1.70    245     68  328.6  334.7  328.9
  400.0   7510  -20.1  -22.0     85   1.65    245     68  328.8  334.7  329.1
  394.1   7620  -20.9  -22.6     86   1.58    250     69  329.2  334.9  329.5
  370.0   8083  -24.1  -25.3     90   1.33    252     73  330.9  335.8  331.1
  361.0   8263  -25.1  -25.3     98   1.36    252     74  331.9  336.9  332.1
  351.0   8466  -26.5  -27.5     91   1.15    253     76  332.6  336.9  332.9
  349.0   8507  -26.9  -27.2     97   1.19    253     76  332.7  337.1  332.9
  343.0   8632  -27.7  -29.5     85   0.97    253     78  333.2  336.9  333.4
  337.0   8759  -28.7  -30.2     87   0.93    254     79  333.5  337.1  333.7
  319.2   9144  -31.8  -34.2     79   0.66    255     82  334.5  337.0  334.6
  312.0   9306  -33.1  -35.9     76   0.58    255     82  334.8  337.1  334.9
  300.0   9580  -35.5  -37.7     80   0.50    255     82  335.2  337.2  335.3
  285.0   9935  -38.5  -40.1     85   0.41    256     82  335.9  337.5  336.0
  282.0  10008  -39.1  -41.4     79   0.36    257     82  336.0  337.5  336.1
  275.0  10179  -40.9  -45.0     64   0.25    257     82  335.9  336.9  335.9
  260.0  10558  -44.3  -47.4     71   0.20    259     83  336.3  337.1  336.3
  250.0  10820  -46.9  -51.1     62   0.14    260     83  336.2  336.8  336.2
  249.0  10847  -47.1  -51.4     61   0.14    260     83  336.3  336.9  336.3
  229.0  11395  -52.7  -56.6     62   0.08    256     88  335.9  336.2  335.9
  214.0  11829  -55.7  -59.1     66   0.06    252     92  337.8  338.1  337.8
  205.0  12103  -56.5  -59.8     66   0.06    250     95  340.7  341.0  340.7
  204.0  12134  -56.3  -60.2     62   0.06    250     95  341.4  341.7  341.5
  202.2  12192  -56.0  -60.9     54   0.05    250     95  342.8  343.0  342.8
  200.0  12260  -55.7  -61.7     47   0.05    250     95  344.4  344.6  344.4
  197.0  12357  -54.1  -63.1     32   0.04    251     94  348.4  348.6  348.4
  193.0  12488  -54.7  -66.7     21   0.03    252     92  349.5  349.6  349.5
  189.0  12622  -55.3  -67.3     21   0.02    253     91  350.7  350.8  350.7
  186.0  12724  -54.5  -68.5     16   0.02    254     90  353.6  353.7  353.6
  167.0  13408  -58.3  -72.3     15   0.01    259     82  358.3  358.3  358.3
  159.0  13716  -58.7  -72.7     15   0.01    262     78  362.7  362.7  362.7
  153.0  13957  -60.3  -74.3     14   0.01    264     75  363.9  364.0  363.9
  150.0  14080  -60.1  -74.1     14   0.01    265     74  366.3  366.4  366.3
  149.0  14122  -59.7  -74.7     12   0.01    266     72  367.7  367.8  367.7
  144.2  14326  -60.4  -74.8     13   0.01    270     65  369.9  370.0  369.9
  141.0  14466  -60.9  -74.9     14   0.01    267     63  371.5  371.5  371.5
  132.0  14872  -63.9  -77.9     13   0.01    257     58  373.2  373.2  373.2
  130.7  14935  -63.9  -77.9     13   0.01    255     57  374.4  374.4  374.4
  125.0  15206  -63.7  -77.7     13   0.01    264     58  379.4  379.4  379.4
  124.3  15240  -63.9  -77.8     13   0.01    265     58  379.7  379.8  379.7
  118.0  15558  -65.3  -78.3     15   0.01    270     54  382.8  382.8  382.8
  113.0  15820  -67.7  -80.7     14   0.01    274     50  383.1  383.1  383.1
  106.9  16154  -68.8  -81.8     14   0.00    280     46  387.2  387.2  387.2
  104.0  16317  -69.3  -82.3     14   0.00    276     44  389.2  389.2  389.2
  100.0  16550  -70.9  -82.9     16   0.00    270     41  390.5  390.5  390.5
   93.6  16940  -73.5  -84.5     17   0.00    280     47  392.8  392.8  392.8
   81.0  17792  -71.5  -82.5     18   0.01    277     38  413.5  413.5  413.5
   74.5  18288  -73.6  -84.6     17   0.00    275     33  419.2  419.2  419.2
   73.5  18364  -73.9  -84.9     17   0.00    279     30  420.1  420.1  420.1
   70.7  18593  -72.8  -83.8     18   0.01    290     20  427.2  427.2  427.2
   70.0  18650  -72.5  -83.5     18   0.01    290     22  428.9  429.0  429.0
   67.9  18829  -71.9  -82.9     18   0.01    257     16  434.0  434.0  434.0
   67.1  18898  -70.1  -81.1     19   0.01    245     14  439.4  439.4  439.4
   66.6  18943  -68.9  -79.9     19   0.01    247     14  442.9  443.0  442.9
   63.4  19236  -70.9  -81.9     18   0.01    261     14  444.8  444.8  444.8
   61.2  19445  -69.7  -81.7     16   0.01    272     14  452.0  452.0  452.0
   54.9  20084  -73.9  -84.9     17   0.01    303     15  456.6  456.6  456.6
   52.3  20370  -69.1  -81.1     16   0.01    317     15  474.1  474.2  474.1
   50.0  20640  -66.9  -79.9     14   0.01    330     15  485.4  485.5  485.4
   47.2  20990  -64.1  -77.1     15   0.02      3     12  500.2  500.3  500.2
   44.6  21336  -63.8  -76.8     15   0.02     35     10  509.1  509.2  509.1
   39.3  22114  -63.1  -76.1     16   0.03     35      9  529.6  529.8  529.6
   37.7  22370  -61.5  -75.5     14   0.04     35      8  540.0  540.3  540.0
   34.6  22901  -62.5  -75.5     16   0.04     35      7  550.8  551.1  550.8
   33.2  23165  -60.5  -74.3     15   0.05     35      7  562.9  563.3  562.9
   32.9  23213  -60.1  -74.1     14   0.05                565.1  565.5  565.1
   31.8  23425  -60.5  -73.5     17   0.06                569.6  570.0  569.6
